Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1970,Indianapolis Colts,Dallas Cowboys,San Francisco 49ers,Oakland Raiders,Minnesota Vikings,Detroit Lions,Miami Dolphins,Cincinnati Bengals,St. Louis Rams,New York Giants,Arizona Cardinals,Kansas City Chiefs,Cleveland Browns,San Diego Chargers,Green Bay Packers,Washington Redskins,Chicago Bears,Denver Broncos,Pittsburgh Steelers,Atlanta Falcons,New York Jets,Philadelphia Eagles,Tennessee Titans,Buffalo Bills,New Orleans Saints,New England Patriots,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1971,Dallas Cowboys,Miami Dolphins,Indianapolis Colts,San Francisco 49ers,Minnesota Vikings,Kansas City Chiefs,Washington Redskins,Cleveland Browns,Oakland Raiders,St. Louis Rams,Atlanta Falcons,Detroit Lions,Philadelphia Eagles,Pittsburgh Steelers,New England Patriots,New York Jets,San Diego Chargers,Chicago Bears,New Orleans Saints,Green Bay Packers,Tennessee Titans,Denver Broncos,Arizona Cardinals,New York Giants,Cincinnati Bengals,Buffalo Bills,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1972,Miami Dolphins,Washington Redskins,Pittsburgh Steelers,Dallas Cowboys,Oakland Raiders,Cleveland Browns,Green Bay Packers,San Francisco 49ers,Detroit Lions,New York Giants,Kansas City Chiefs,Cincinnati Bengals,New York Jets,Minnesota Vikings,Atlanta Falcons,St. Louis Rams,Indianapolis Colts,Denver Broncos,San Diego Chargers,Chicago Bears,Buffalo Bills,Arizona Cardinals,New England Patriots,New Orleans Saints,Philadelphia Eagles,Tennessee Titans,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1973,Miami Dolphins,Minnesota Vikings,Dallas Cowboys,Oakland Raiders,St. Louis Rams,Washington Redskins,Pittsburgh Steelers,Cincinnati Bengals,Atlanta Falcons,Buffalo Bills,Cleveland Browns,Denver Broncos,Kansas City Chiefs,Detroit Lions,Green Bay Packers,Philadelphia Eagles,New Orleans Saints,New England Patriots,San Francisco 49ers,Arizona Cardinals,Indianapolis Colts,New York Jets,Chicago Bears,New York Giants,San Diego Chargers,Tennessee Titans,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1974,Pittsburgh Steelers,Minnesota Vikings,Oakland Raiders,St. Louis Rams,Miami Dolphins,Arizona Cardinals,Washington Redskins,Buffalo Bills,Dallas Cowboys,Denver Broncos,Philadelphia Eagles,Tennessee Titans,New England Patriots,New York Jets,Detroit Lions,Cincinnati Bengals,Green Bay Packers,San Francisco 49ers,New Orleans Saints,San Diego Chargers,Kansas City Chiefs,Cleveland Browns,Chicago Bears,Atlanta Falcons,Indianapolis Colts,New York Giants,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1975,Pittsburgh Steelers,Dallas Cowboys,St. Louis Rams,Oakland Raiders,Minnesota Vikings,Arizona Cardinals,Cincinnati Bengals,Indianapolis Colts,Tennessee Titans,Miami Dolphins,Washington Redskins,Buffalo Bills,Detroit Lions,Denver Broncos,New York Giants,Kansas City Chiefs,San Francisco 49ers,Green Bay Packers,Philadelphia Eagles,Atlanta Falcons,Chicago Bears,Cleveland Browns,New England Patriots,New York Jets,New Orleans Saints,San Diego Chargers,Seattle Seahawks,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1976,Oakland Raiders,Minnesota Vikings,St. Louis Rams,Pittsburgh Steelers,New England Patriots,Indianapolis Colts,Dallas Cowboys,Washington Redskins,Arizona Cardinals,Cincinnati Bengals,Cleveland Browns,Denver Broncos,San Francisco 49ers,Chicago Bears,Miami Dolphins,San Diego Chargers,Detroit Lions,Green Bay Packers,Tennessee Titans,Kansas City Chiefs,New Orleans Saints,Philadelphia Eagles,Atlanta Falcons,New York Giants,New York Jets,Seattle Seahawks,Buffalo Bills,Tampa Bay Buccaneers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1977,Dallas Cowboys,Denver Broncos,Oakland Raiders,Minnesota Vikings,Indianapolis Colts,St. Louis Rams,Pittsburgh Steelers,Chicago Bears,Miami Dolphins,New England Patriots,Washington Redskins,Tennessee Titans,Cincinnati Bengals,Atlanta Falcons,San Diego Chargers,Arizona Cardinals,Cleveland Browns,Detroit Lions,Seattle Seahawks,Philadelphia Eagles,New York Giants,San Francisco 49ers,Green Bay Packers,New Orleans Saints,New York Jets,Buffalo Bills,Tampa Bay Buccaneers,Kansas City Chiefs,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1978,Pittsburgh Steelers,Dallas Cowboys,St. Louis Rams,Tennessee Titans,New England Patriots,Denver Broncos,Atlanta Falcons,Minnesota Vikings,Miami Dolphins,Philadelphia Eagles,Seattle Seahawks,San Diego Chargers,Oakland Raiders,Green Bay Packers,Cleveland Browns,New York Jets,Washington Redskins,New Orleans Saints,Chicago Bears,Detroit Lions,New York Giants,Arizona Cardinals,Indianapolis Colts,Tampa Bay Buccaneers,Buffalo Bills,Kansas City Chiefs,Cincinnati Bengals,San Francisco 49ers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
1979,Pittsburgh Steelers,St. Louis Rams,Tennessee Titans,Tampa Bay Buccaneers,San Diego Chargers,Philadelphia Eagles,Dallas Cowboys,Miami Dolphins,Denver Broncos,Chicago Bears,Washington Redskins,Seattle Seahawks,Cleveland Browns,New England Patriots,Oakland Raiders,New Orleans Saints,New York Jets,Minnesota Vikings,Buffalo Bills,Kansas City Chiefs,New York Giants,Atlanta Falcons,Indianapolis Colts,Green Bay Packers,Arizona Cardinals,Cincinnati Bengals,Detroit Lions,San Francisco 49ers,Jacksonville Jaguars,Carolina Panthers,Houston Texans,Baltimore Ravens
