Years,Indianapolis Colts,New Orleans Saints,Seattle Seahawks,Tampa Bay Buccaneers,Pittsburgh Steelers,Cleveland Browns,Green Bay Packers,Philadelphia Eagles,Tennessee Titans,Jacksonville Jaguars,Dallas Cowboys,New York Giants,New England Patriots,New York Jets,Minnesota Vikings,Atlanta Falcons,Washington Redskins,Miami Dolphins,Carolina Panthers,St. Louis Rams,San Diego Chargers,Chicago Bears,Denver Broncos,Buffalo Bills,Detroit Lions,Oakland Raiders,Houston Texans,Kansas City Chiefs,San Francisco 49ers,Arizona Cardinals,Cincinnati Bengals,Baltimore Ravens
1970,0.058162,0.0295168,-0.0,-0.0,0.015024,0.0258263,0.0380471,0.0246416,0.0096663,-0.0,0.0616945,0.0515209,0.0139708,0.0369695,0.0832486,0.0280969,0.0327631,0.0522085,-0.0,0.0537315,0.0239159,0.0256749,0.0187598,0.0209477,0.0679474,0.0428797,-0.0,0.0450587,0.0653397,0.0496542,0.0247337,-0.0
1971,0.061942,0.051236,-0.0,-0.0,0.0167081,0.0401973,0.0224906,0.0201472,0.010985,-0.0,0.0691385,0.0150885,0.0454071,0.0374913,0.0536034,0.0457729,0.0517983,0.0644545,-0.0,0.053633,0.0332759,0.0581283,0.0302601,0.006331,0.0391717,0.0352913,-0.0,0.0526834,0.0580999,0.0155154,0.0111495,-0.0
1972,0.027211,0.0092458,-0.0,-0.0,0.0705198,0.0555949,0.0607608,0.0092318,0.0041727,-0.0,0.0694982,0.033025,0.0286988,0.0257868,0.0373043,0.0261563,0.0794503,0.0932446,-0.0,0.031176,0.021404,0.0233021,0.0241401,0.0404698,0.0313602,0.0551894,-0.0,0.0425863,0.0410377,0.0157411,0.0436922,-0.0
1973,0.0754356,0.020312,-0.0,-0.0,0.0570176,0.0559125,0.0128416,0.0161591,0.0078834,-0.0,0.0471088,0.0039879,0.0124848,0.0189561,0.0651119,0.0494982,0.0314889,0.0979425,-0.0,0.0487527,0.0149773,0.0097758,0.0455981,0.040669,0.0188423,0.1034526,-0.0,0.0384355,0.0231617,0.0215827,0.0626116,-0.0
1974,0.0062132,0.025586,-0.0,-0.0,0.0751112,0.0262286,0.0338591,0.0206624,0.0576843,-0.0,0.0374839,0.010518,0.0434601,0.032698,0.0568596,0.0067566,0.0528712,0.0487476,-0.0,0.0557445,0.0248474,0.0129414,0.0614631,0.0537956,0.0310332,0.0819373,-0.0,0.0359259,0.0132651,0.0479985,0.0463082,-0.0
1975,0.0553608,0.0036674,-0.0,-0.0,0.0976448,0.0211058,0.0242908,0.023697,0.0550196,-0.0,0.0853863,0.0222047,0.0153028,0.0085067,0.0347658,0.0097915,0.0501303,0.0430425,-0.0,0.0799795,0.0061288,0.0090084,0.0137641,0.075729,0.0237296,0.0572144,-0.0,0.0396414,0.0323046,0.0468602,0.0657233,-0.0
1976,0.0604775,0.0123697,0.0030064,0.0,0.0539519,0.0268825,0.0114463,0.0067357,0.0101428,-0.0,0.051927,0.0172333,0.1118917,0.0006029,0.0634157,0.0275209,0.0543278,0.0343482,-0.0,0.0539461,0.0241649,0.0461025,0.0273807,0.0030105,0.0454996,0.1001293,-0.0,0.0250533,0.0394094,0.0529836,0.0360397,-0.0
1977,0.0513598,0.014702,0.0078258,0.0109341,0.0783927,0.0268352,0.0062872,0.0102125,0.0335584,-0.0,0.1026619,0.0280268,0.0375081,0.0116072,0.0286329,0.0211719,0.0350545,0.0413166,-0.0,0.0385489,0.0460852,0.0244434,0.1055837,0.0131106,0.0210405,0.0808932,-0.0,0.0074102,0.0096846,0.0649465,0.0421657,-0.0
1978,0.026912,0.0277692,0.0318085,0.0153764,0.0754054,0.037195,0.0277268,0.030999,0.0753763,-0.0,0.0564616,0.0117117,0.0422879,0.0321737,0.0371389,0.0454012,0.034408,0.0496592,-0.0,0.0819842,0.0461159,0.0213303,0.0412269,0.0111122,0.0233803,0.0379922,-0.0,0.0157274,0.0048898,0.0191197,0.0393101,-0.0
1979,0.0179908,0.0236753,0.053007,0.0297393,0.0768116,0.0504572,0.0108845,0.0612469,0.0791416,-0.0,0.040385,0.0239878,0.034044,0.0249655,0.0126424,0.0332293,0.0397115,0.0273541,-0.0,0.0353315,0.072528,0.0220625,0.0481071,0.0195621,0.006532,0.0502269,-0.0,0.0363597,0.0078793,0.0218231,0.0403142,-0.0
