Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1970,Minnesota Vikings,Detroit Lions,San Francisco 49ers,Dallas Cowboys,Indianapolis Colts,St. Louis Rams,Miami Dolphins,New York Giants,Arizona Cardinals,Kansas City Chiefs,Oakland Raiders,Green Bay Packers,New York Jets,Washington Redskins,New Orleans Saints,Atlanta Falcons,Cleveland Browns,Chicago Bears,Cincinnati Bengals,Philadelphia Eagles,San Diego Chargers,Buffalo Bills,Denver Broncos,Pittsburgh Steelers,New England Patriots,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1971,Dallas Cowboys,Miami Dolphins,Indianapolis Colts,Chicago Bears,San Francisco 49ers,St. Louis Rams,Minnesota Vikings,Kansas City Chiefs,Washington Redskins,New Orleans Saints,Atlanta Falcons,New England Patriots,Cleveland Browns,Detroit Lions,New York Jets,Oakland Raiders,San Diego Chargers,Denver Broncos,Green Bay Packers,Philadelphia Eagles,Pittsburgh Steelers,Arizona Cardinals,New York Giants,Cincinnati Bengals,Tennessee Titans,Buffalo Bills,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1972,Miami Dolphins,Washington Redskins,Pittsburgh Steelers,Dallas Cowboys,Green Bay Packers,Cleveland Browns,Oakland Raiders,Cincinnati Bengals,Kansas City Chiefs,San Francisco 49ers,Buffalo Bills,Minnesota Vikings,New York Giants,Detroit Lions,St. Louis Rams,New England Patriots,Indianapolis Colts,Atlanta Falcons,New York Jets,Denver Broncos,Chicago Bears,San Diego Chargers,Arizona Cardinals,New Orleans Saints,Philadelphia Eagles,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1973,Oakland Raiders,Miami Dolphins,Indianapolis Colts,Minnesota Vikings,Cincinnati Bengals,Pittsburgh Steelers,Cleveland Browns,Atlanta Falcons,St. Louis Rams,Dallas Cowboys,Denver Broncos,Buffalo Bills,Kansas City Chiefs,Washington Redskins,San Francisco 49ers,Arizona Cardinals,New Orleans Saints,New York Jets,Detroit Lions,Philadelphia Eagles,San Diego Chargers,Green Bay Packers,New England Patriots,Chicago Bears,Tennessee Titans,New York Giants,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1974,Oakland Raiders,Pittsburgh Steelers,Denver Broncos,Tennessee Titans,Minnesota Vikings,St. Louis Rams,Buffalo Bills,Washington Redskins,Miami Dolphins,Arizona Cardinals,Cincinnati Bengals,New England Patriots,Dallas Cowboys,Kansas City Chiefs,Green Bay Packers,New York Jets,Detroit Lions,Cleveland Browns,New Orleans Saints,San Diego Chargers,Philadelphia Eagles,San Francisco 49ers,Chicago Bears,New York Giants,Atlanta Falcons,Indianapolis Colts,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1975,Pittsburgh Steelers,Dallas Cowboys,St. Louis Rams,Buffalo Bills,Cincinnati Bengals,Oakland Raiders,Indianapolis Colts,Tennessee Titans,Washington Redskins,Arizona Cardinals,Miami Dolphins,Kansas City Chiefs,Minnesota Vikings,San Francisco 49ers,Green Bay Packers,Detroit Lions,Philadelphia Eagles,New York Giants,Cleveland Browns,New England Patriots,Denver Broncos,Atlanta Falcons,Chicago Bears,New York Jets,San Diego Chargers,New Orleans Saints,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1976,New England Patriots,Oakland Raiders,Minnesota Vikings,Indianapolis Colts,Washington Redskins,Pittsburgh Steelers,St. Louis Rams,Arizona Cardinals,Dallas Cowboys,Chicago Bears,Detroit Lions,San Francisco 49ers,Cincinnati Bengals,Miami Dolphins,Atlanta Falcons,Denver Broncos,Cleveland Browns,Kansas City Chiefs,San Diego Chargers,New York Giants,New Orleans Saints,Green Bay Packers,Tennessee Titans,Philadelphia Eagles,Buffalo Bills,Seattle Seahawks,New York Jets,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1977,Denver Broncos,Dallas Cowboys,Oakland Raiders,Pittsburgh Steelers,Arizona Cardinals,Indianapolis Colts,San Diego Chargers,Cincinnati Bengals,Miami Dolphins,St. Louis Rams,New England Patriots,Washington Redskins,Tennessee Titans,Minnesota Vikings,New York Giants,Cleveland Browns,Chicago Bears,Atlanta Falcons,Detroit Lions,New Orleans Saints,Buffalo Bills,New York Jets,Tampa Bay Buccaneers,Philadelphia Eagles,San Francisco 49ers,Seattle Seahawks,Kansas City Chiefs,Green Bay Packers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1978,St. Louis Rams,Pittsburgh Steelers,Tennessee Titans,Dallas Cowboys,Miami Dolphins,San Diego Chargers,Atlanta Falcons,New England Patriots,Denver Broncos,Cincinnati Bengals,Oakland Raiders,Cleveland Browns,Minnesota Vikings,Washington Redskins,New York Jets,Seattle Seahawks,Philadelphia Eagles,New Orleans Saints,Green Bay Packers,Indianapolis Colts,Detroit Lions,Chicago Bears,Arizona Cardinals,Kansas City Chiefs,Tampa Bay Buccaneers,New York Giants,Buffalo Bills,San Francisco 49ers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1979,Tennessee Titans,Pittsburgh Steelers,San Diego Chargers,Philadelphia Eagles,Seattle Seahawks,Cleveland Browns,Oakland Raiders,Denver Broncos,Dallas Cowboys,Cincinnati Bengals,Washington Redskins,Kansas City Chiefs,St. Louis Rams,New England Patriots,Atlanta Falcons,Tampa Bay Buccaneers,Miami Dolphins,New York Jets,New York Giants,New Orleans Saints,Chicago Bears,Arizona Cardinals,Buffalo Bills,Indianapolis Colts,Minnesota Vikings,Green Bay Packers,San Francisco 49ers,Detroit Lions,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1980,San Diego Chargers,Oakland Raiders,Dallas Cowboys,Buffalo Bills,Philadelphia Eagles,Atlanta Falcons,New England Patriots,Kansas City Chiefs,Indianapolis Colts,Miami Dolphins,Tennessee Titans,St. Louis Rams,Denver Broncos,Pittsburgh Steelers,Cleveland Browns,New York Jets,Cincinnati Bengals,Minnesota Vikings,Arizona Cardinals,Washington Redskins,Detroit Lions,New York Giants,Seattle Seahawks,Tampa Bay Buccaneers,San Francisco 49ers,Green Bay Packers,Chicago Bears,New Orleans Saints,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1981,San Francisco 49ers,Cincinnati Bengals,Detroit Lions,San Diego Chargers,Dallas Cowboys,Cleveland Browns,Atlanta Falcons,Denver Broncos,Tampa Bay Buccaneers,New York Giants,Buffalo Bills,Kansas City Chiefs,New York Jets,Tennessee Titans,Miami Dolphins,Minnesota Vikings,Green Bay Packers,Philadelphia Eagles,Seattle Seahawks,Chicago Bears,St. Louis Rams,Pittsburgh Steelers,Washington Redskins,Oakland Raiders,Arizona Cardinals,New Orleans Saints,New England Patriots,Indianapolis Colts,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1982,Dallas Cowboys,Washington Redskins,Miami Dolphins,Pittsburgh Steelers,New York Jets,Tampa Bay Buccaneers,Minnesota Vikings,New England Patriots,Philadelphia Eagles,Oakland Raiders,Cincinnati Bengals,San Diego Chargers,Buffalo Bills,Cleveland Browns,Kansas City Chiefs,Green Bay Packers,Detroit Lions,Seattle Seahawks,Arizona Cardinals,New York Giants,Chicago Bears,New Orleans Saints,San Francisco 49ers,Atlanta Falcons,St. Louis Rams,Tennessee Titans,Indianapolis Colts,Denver Broncos,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1983,Washington Redskins,Oakland Raiders,Seattle Seahawks,Dallas Cowboys,San Francisco 49ers,Miami Dolphins,Green Bay Packers,St. Louis Rams,Arizona Cardinals,New England Patriots,Pittsburgh Steelers,Atlanta Falcons,Denver Broncos,San Diego Chargers,New York Jets,New Orleans Saints,Detroit Lions,Buffalo Bills,Cleveland Browns,Chicago Bears,Minnesota Vikings,Kansas City Chiefs,Indianapolis Colts,Philadelphia Eagles,Cincinnati Bengals,New York Giants,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1984,Pittsburgh Steelers,Miami Dolphins,Oakland Raiders,Denver Broncos,Seattle Seahawks,San Francisco 49ers,Kansas City Chiefs,Chicago Bears,San Diego Chargers,New York Giants,St. Louis Rams,Dallas Cowboys,Arizona Cardinals,New England Patriots,New Orleans Saints,Washington Redskins,Cincinnati Bengals,Tennessee Titans,New York Jets,Green Bay Packers,Cleveland Browns,Indianapolis Colts,Philadelphia Eagles,Tampa Bay Buccaneers,Atlanta Falcons,Detroit Lions,Buffalo Bills,Minnesota Vikings,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1985,Miami Dolphins,Chicago Bears,New England Patriots,Oakland Raiders,New York Jets,Detroit Lions,San Francisco 49ers,Cleveland Browns,St. Louis Rams,Dallas Cowboys,Denver Broncos,Seattle Seahawks,Tennessee Titans,New York Giants,San Diego Chargers,Washington Redskins,Kansas City Chiefs,Green Bay Packers,Cincinnati Bengals,Minnesota Vikings,New Orleans Saints,Philadelphia Eagles,Arizona Cardinals,Pittsburgh Steelers,Indianapolis Colts,Atlanta Falcons,Tampa Bay Buccaneers,Buffalo Bills,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1986,Seattle Seahawks,New York Giants,Denver Broncos,Dallas Cowboys,Washington Redskins,Kansas City Chiefs,New York Jets,Cincinnati Bengals,Oakland Raiders,St. Louis Rams,Chicago Bears,Cleveland Browns,San Francisco 49ers,New England Patriots,Philadelphia Eagles,Minnesota Vikings,Atlanta Falcons,Miami Dolphins,Pittsburgh Steelers,San Diego Chargers,New Orleans Saints,Tennessee Titans,Buffalo Bills,Arizona Cardinals,Indianapolis Colts,Green Bay Packers,Detroit Lions,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
