Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1970,Minnesota Vikings,Detroit Lions,St. Louis Rams,Indianapolis Colts,Green Bay Packers,San Francisco 49ers,Miami Dolphins,New York Jets,New York Giants,Dallas Cowboys,Arizona Cardinals,Kansas City Chiefs,Oakland Raiders,Washington Redskins,New Orleans Saints,Cleveland Browns,Chicago Bears,Atlanta Falcons,Philadelphia Eagles,Cincinnati Bengals,San Diego Chargers,Buffalo Bills,Denver Broncos,Pittsburgh Steelers,New England Patriots,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1971,Indianapolis Colts,San Francisco 49ers,Kansas City Chiefs,Minnesota Vikings,St. Louis Rams,Miami Dolphins,Chicago Bears,New England Patriots,Atlanta Falcons,Dallas Cowboys,Detroit Lions,New Orleans Saints,Cleveland Browns,Washington Redskins,San Diego Chargers,New York Jets,Oakland Raiders,Denver Broncos,Green Bay Packers,Philadelphia Eagles,Pittsburgh Steelers,Arizona Cardinals,New York Giants,Cincinnati Bengals,Tennessee Titans,Buffalo Bills,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1972,Pittsburgh Steelers,Dallas Cowboys,Washington Redskins,Green Bay Packers,Oakland Raiders,Cleveland Browns,Miami Dolphins,Kansas City Chiefs,Cincinnati Bengals,San Francisco 49ers,Minnesota Vikings,Buffalo Bills,New York Giants,St. Louis Rams,Detroit Lions,Atlanta Falcons,Denver Broncos,New England Patriots,Chicago Bears,Indianapolis Colts,San Diego Chargers,New York Jets,Arizona Cardinals,New Orleans Saints,Philadelphia Eagles,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1973,Oakland Raiders,Cincinnati Bengals,Miami Dolphins,Minnesota Vikings,Atlanta Falcons,Pittsburgh Steelers,Cleveland Browns,St. Louis Rams,Denver Broncos,Indianapolis Colts,Dallas Cowboys,Buffalo Bills,Kansas City Chiefs,Washington Redskins,San Francisco 49ers,Arizona Cardinals,Detroit Lions,New Orleans Saints,Philadelphia Eagles,San Diego Chargers,Green Bay Packers,New York Jets,Chicago Bears,New England Patriots,Tennessee Titans,New York Giants,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1974,Oakland Raiders,Washington Redskins,Buffalo Bills,Arizona Cardinals,Miami Dolphins,Denver Broncos,St. Louis Rams,New England Patriots,Minnesota Vikings,Tennessee Titans,Dallas Cowboys,Pittsburgh Steelers,New York Jets,Kansas City Chiefs,Cincinnati Bengals,Green Bay Packers,New Orleans Saints,Detroit Lions,Cleveland Browns,San Diego Chargers,Philadelphia Eagles,San Francisco 49ers,Chicago Bears,New York Giants,Indianapolis Colts,Atlanta Falcons,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1975,Pittsburgh Steelers,Buffalo Bills,Cincinnati Bengals,Dallas Cowboys,St. Louis Rams,Tennessee Titans,Indianapolis Colts,Washington Redskins,Oakland Raiders,Arizona Cardinals,Miami Dolphins,Kansas City Chiefs,Minnesota Vikings,San Francisco 49ers,Detroit Lions,Cleveland Browns,Philadelphia Eagles,New York Giants,Green Bay Packers,New England Patriots,Denver Broncos,Atlanta Falcons,Chicago Bears,New York Jets,San Diego Chargers,New Orleans Saints,Tampa Bay Buccaneers,Carolina Panthers,Seattle Seahawks,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1976,New England Patriots,Washington Redskins,Dallas Cowboys,Arizona Cardinals,Oakland Raiders,Indianapolis Colts,Minnesota Vikings,Chicago Bears,Pittsburgh Steelers,St. Louis Rams,Detroit Lions,Cincinnati Bengals,San Francisco 49ers,Atlanta Falcons,Miami Dolphins,Denver Broncos,Kansas City Chiefs,Cleveland Browns,San Diego Chargers,New York Giants,New Orleans Saints,Green Bay Packers,Tennessee Titans,Philadelphia Eagles,Seattle Seahawks,Buffalo Bills,New York Jets,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1977,Denver Broncos,Oakland Raiders,Dallas Cowboys,Pittsburgh Steelers,Indianapolis Colts,San Diego Chargers,Arizona Cardinals,Miami Dolphins,New England Patriots,St. Louis Rams,Cincinnati Bengals,Tennessee Titans,Washington Redskins,Cleveland Browns,Chicago Bears,Minnesota Vikings,Atlanta Falcons,New York Giants,Detroit Lions,New Orleans Saints,Buffalo Bills,New York Jets,San Francisco 49ers,Philadelphia Eagles,Tampa Bay Buccaneers,Seattle Seahawks,Kansas City Chiefs,Green Bay Packers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1978,St. Louis Rams,Tennessee Titans,Pittsburgh Steelers,Miami Dolphins,Dallas Cowboys,New England Patriots,San Diego Chargers,Atlanta Falcons,Denver Broncos,Minnesota Vikings,Washington Redskins,New York Jets,Cleveland Browns,Oakland Raiders,Cincinnati Bengals,Philadelphia Eagles,Seattle Seahawks,Indianapolis Colts,Green Bay Packers,New Orleans Saints,Detroit Lions,Chicago Bears,Arizona Cardinals,Tampa Bay Buccaneers,Kansas City Chiefs,New York Giants,Buffalo Bills,San Francisco 49ers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1979,San Diego Chargers,Pittsburgh Steelers,Tennessee Titans,Oakland Raiders,Philadelphia Eagles,Seattle Seahawks,Denver Broncos,Cleveland Browns,Washington Redskins,Dallas Cowboys,Kansas City Chiefs,New England Patriots,Cincinnati Bengals,Atlanta Falcons,St. Louis Rams,Miami Dolphins,New York Jets,New York Giants,New Orleans Saints,Tampa Bay Buccaneers,Buffalo Bills,Chicago Bears,Arizona Cardinals,Indianapolis Colts,Minnesota Vikings,Green Bay Packers,San Francisco 49ers,Detroit Lions,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1980,Buffalo Bills,San Diego Chargers,New England Patriots,Miami Dolphins,Atlanta Falcons,Indianapolis Colts,Oakland Raiders,Tennessee Titans,Pittsburgh Steelers,Dallas Cowboys,Cleveland Browns,St. Louis Rams,Kansas City Chiefs,Philadelphia Eagles,Denver Broncos,New York Jets,Minnesota Vikings,Cincinnati Bengals,Detroit Lions,Seattle Seahawks,Arizona Cardinals,Washington Redskins,Tampa Bay Buccaneers,Green Bay Packers,San Francisco 49ers,New York Giants,Chicago Bears,New Orleans Saints,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1981,San Francisco 49ers,Detroit Lions,Cincinnati Bengals,Dallas Cowboys,San Diego Chargers,Denver Broncos,New York Giants,Tampa Bay Buccaneers,Kansas City Chiefs,Buffalo Bills,Atlanta Falcons,New York Jets,Miami Dolphins,Cleveland Browns,Minnesota Vikings,Green Bay Packers,Philadelphia Eagles,Seattle Seahawks,Chicago Bears,Tennessee Titans,Oakland Raiders,Washington Redskins,Arizona Cardinals,Pittsburgh Steelers,St. Louis Rams,New Orleans Saints,New England Patriots,Indianapolis Colts,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1982,Pittsburgh Steelers,Miami Dolphins,Dallas Cowboys,New York Jets,Cincinnati Bengals,Tampa Bay Buccaneers,Washington Redskins,New England Patriots,Minnesota Vikings,Oakland Raiders,Cleveland Browns,Buffalo Bills,San Diego Chargers,Philadelphia Eagles,Kansas City Chiefs,Green Bay Packers,Seattle Seahawks,Detroit Lions,Arizona Cardinals,Chicago Bears,New York Giants,New Orleans Saints,San Francisco 49ers,Atlanta Falcons,St. Louis Rams,Tennessee Titans,Indianapolis Colts,Denver Broncos,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1983,Washington Redskins,Dallas Cowboys,Oakland Raiders,San Francisco 49ers,Seattle Seahawks,Miami Dolphins,Green Bay Packers,New England Patriots,St. Louis Rams,Atlanta Falcons,New York Jets,New Orleans Saints,Arizona Cardinals,Pittsburgh Steelers,Denver Broncos,Buffalo Bills,San Diego Chargers,Detroit Lions,Cleveland Browns,Chicago Bears,Minnesota Vikings,Indianapolis Colts,Philadelphia Eagles,Cincinnati Bengals,Kansas City Chiefs,New York Giants,Tennessee Titans,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1984,Denver Broncos,Seattle Seahawks,Oakland Raiders,Kansas City Chiefs,Pittsburgh Steelers,Miami Dolphins,Chicago Bears,San Francisco 49ers,New York Giants,Arizona Cardinals,Dallas Cowboys,San Diego Chargers,St. Louis Rams,Washington Redskins,New England Patriots,New Orleans Saints,Green Bay Packers,New York Jets,Cincinnati Bengals,Tennessee Titans,Philadelphia Eagles,Cleveland Browns,Indianapolis Colts,Tampa Bay Buccaneers,Atlanta Falcons,Detroit Lions,Buffalo Bills,Minnesota Vikings,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1985,Miami Dolphins,Chicago Bears,Oakland Raiders,New England Patriots,San Francisco 49ers,New York Jets,Detroit Lions,Denver Broncos,St. Louis Rams,Seattle Seahawks,Dallas Cowboys,San Diego Chargers,Tennessee Titans,Cleveland Browns,Washington Redskins,Kansas City Chiefs,New York Giants,Green Bay Packers,Minnesota Vikings,Cincinnati Bengals,New Orleans Saints,Philadelphia Eagles,Arizona Cardinals,Pittsburgh Steelers,Atlanta Falcons,Indianapolis Colts,Tampa Bay Buccaneers,Buffalo Bills,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1986,Seattle Seahawks,Denver Broncos,New York Giants,Kansas City Chiefs,Washington Redskins,Dallas Cowboys,Cincinnati Bengals,New York Jets,St. Louis Rams,Oakland Raiders,Chicago Bears,Cleveland Browns,San Francisco 49ers,New England Patriots,Minnesota Vikings,Philadelphia Eagles,Atlanta Falcons,Miami Dolphins,Pittsburgh Steelers,New Orleans Saints,San Diego Chargers,Tennessee Titans,Buffalo Bills,Arizona Cardinals,Indianapolis Colts,Green Bay Packers,Detroit Lions,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1987,New Orleans Saints,San Francisco 49ers,Philadelphia Eagles,Indianapolis Colts,Pittsburgh Steelers,New England Patriots,Washington Redskins,Buffalo Bills,Cleveland Browns,Tennessee Titans,Miami Dolphins,Arizona Cardinals,Denver Broncos,Dallas Cowboys,Seattle Seahawks,New York Giants,San Diego Chargers,New York Jets,Chicago Bears,St. Louis Rams,Minnesota Vikings,Green Bay Packers,Atlanta Falcons,Cincinnati Bengals,Oakland Raiders,Kansas City Chiefs,Detroit Lions,Tampa Bay Buccaneers,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1988,Buffalo Bills,Cincinnati Bengals,New England Patriots,Minnesota Vikings,Indianapolis Colts,Chicago Bears,Tennessee Titans,Cleveland Browns,San Francisco 49ers,St. Louis Rams,Seattle Seahawks,Denver Broncos,New York Jets,Green Bay Packers,Philadelphia Eagles,Kansas City Chiefs,New Orleans Saints,Miami Dolphins,Oakland Raiders,Tampa Bay Buccaneers,Arizona Cardinals,Washington Redskins,San Diego Chargers,Atlanta Falcons,New York Giants,Pittsburgh Steelers,Detroit Lions,Dallas Cowboys,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1989,San Francisco 49ers,St. Louis Rams,Green Bay Packers,Philadelphia Eagles,Minnesota Vikings,Denver Broncos,Cleveland Browns,New York Giants,Cincinnati Bengals,Chicago Bears,Buffalo Bills,Tennessee Titans,Kansas City Chiefs,Pittsburgh Steelers,New Orleans Saints,San Diego Chargers,Oakland Raiders,Miami Dolphins,Indianapolis Colts,Washington Redskins,Detroit Lions,Seattle Seahawks,Tampa Bay Buccaneers,New England Patriots,New York Jets,Atlanta Falcons,Arizona Cardinals,Dallas Cowboys,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1990,Buffalo Bills,San Francisco 49ers,New York Giants,Washington Redskins,Miami Dolphins,Philadelphia Eagles,Tennessee Titans,Oakland Raiders,New Orleans Saints,Kansas City Chiefs,St. Louis Rams,Indianapolis Colts,Seattle Seahawks,Dallas Cowboys,Chicago Bears,Pittsburgh Steelers,Atlanta Falcons,Minnesota Vikings,Denver Broncos,Green Bay Packers,Cincinnati Bengals,Detroit Lions,Arizona Cardinals,Tampa Bay Buccaneers,New York Jets,San Diego Chargers,Cleveland Browns,New England Patriots,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1991,Washington Redskins,Dallas Cowboys,Philadelphia Eagles,San Francisco 49ers,New Orleans Saints,Detroit Lions,Tennessee Titans,New York Giants,Chicago Bears,Atlanta Falcons,Kansas City Chiefs,Denver Broncos,Oakland Raiders,Buffalo Bills,Minnesota Vikings,Tampa Bay Buccaneers,New England Patriots,Arizona Cardinals,San Diego Chargers,Miami Dolphins,Pittsburgh Steelers,Seattle Seahawks,New York Jets,Cleveland Browns,Cincinnati Bengals,St. Louis Rams,Green Bay Packers,Indianapolis Colts,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1992,Buffalo Bills,San Francisco 49ers,Philadelphia Eagles,Tennessee Titans,Dallas Cowboys,Pittsburgh Steelers,Miami Dolphins,Washington Redskins,Kansas City Chiefs,Indianapolis Colts,Green Bay Packers,Oakland Raiders,New Orleans Saints,Denver Broncos,San Diego Chargers,Minnesota Vikings,Arizona Cardinals,Cleveland Browns,New York Jets,New York Giants,St. Louis Rams,Chicago Bears,Atlanta Falcons,Tampa Bay Buccaneers,Detroit Lions,Cincinnati Bengals,New England Patriots,Seattle Seahawks,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1993,Kansas City Chiefs,Buffalo Bills,Minnesota Vikings,Oakland Raiders,Tennessee Titans,Dallas Cowboys,Miami Dolphins,San Diego Chargers,Green Bay Packers,Denver Broncos,Chicago Bears,Pittsburgh Steelers,New Orleans Saints,San Francisco 49ers,New York Giants,Atlanta Falcons,Cleveland Browns,New York Jets,Detroit Lions,Tampa Bay Buccaneers,Philadelphia Eagles,St. Louis Rams,Arizona Cardinals,Seattle Seahawks,Washington Redskins,Cincinnati Bengals,Indianapolis Colts,New England Patriots,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1994,Minnesota Vikings,New England Patriots,Miami Dolphins,Detroit Lions,Pittsburgh Steelers,San Francisco 49ers,Buffalo Bills,San Diego Chargers,Kansas City Chiefs,Green Bay Packers,Dallas Cowboys,Chicago Bears,Cleveland Browns,New York Jets,Oakland Raiders,Indianapolis Colts,Arizona Cardinals,Philadelphia Eagles,Denver Broncos,New York Giants,Seattle Seahawks,Tampa Bay Buccaneers,Atlanta Falcons,New Orleans Saints,St. Louis Rams,Washington Redskins,Cincinnati Bengals,Tennessee Titans,Carolina Panthers,Houston Texans,Jacksonville Jaguars,Baltimore Ravens
1995,San Francisco 49ers,Dallas Cowboys,Detroit Lions,Miami Dolphins,Atlanta Falcons,Green Bay Packers,Kansas City Chiefs,Washington Redskins,Indianapolis Colts,Buffalo Bills,Philadelphia Eagles,New Orleans Saints,Minnesota Vikings,Pittsburgh Steelers,Carolina Panthers,St. Louis Rams,San Diego Chargers,Chicago Bears,Tampa Bay Buccaneers,Oakland Raiders,Denver Broncos,Seattle Seahawks,Cincinnati Bengals,New England Patriots,Cleveland Browns,Arizona Cardinals,Tennessee Titans,New York Giants,Jacksonville Jaguars,New York Jets,Houston Texans,Baltimore Ravens
1996,Dallas Cowboys,Green Bay Packers,Buffalo Bills,Kansas City Chiefs,Denver Broncos,San Diego Chargers,Indianapolis Colts,New England Patriots,Washington Redskins,Pittsburgh Steelers,Miami Dolphins,Philadelphia Eagles,Minnesota Vikings,Seattle Seahawks,Chicago Bears,Carolina Panthers,Oakland Raiders,New York Giants,Arizona Cardinals,Jacksonville Jaguars,Tampa Bay Buccaneers,San Francisco 49ers,Cincinnati Bengals,Tennessee Titans,Detroit Lions,Baltimore Ravens,New Orleans Saints,St. Louis Rams,Atlanta Falcons,New York Jets,Cleveland Browns,Houston Texans
1997,Green Bay Packers,Jacksonville Jaguars,Detroit Lions,Pittsburgh Steelers,Tampa Bay Buccaneers,Philadelphia Eagles,Miami Dolphins,New England Patriots,Kansas City Chiefs,Denver Broncos,New York Giants,Indianapolis Colts,Washington Redskins,New York Jets,San Francisco 49ers,Minnesota Vikings,Tennessee Titans,Dallas Cowboys,Buffalo Bills,Baltimore Ravens,Cincinnati Bengals,Seattle Seahawks,Chicago Bears,St. Louis Rams,New Orleans Saints,Atlanta Falcons,Arizona Cardinals,Oakland Raiders,Carolina Panthers,San Diego Chargers,Cleveland Browns,Houston Texans
1998,New York Jets,San Francisco 49ers,Minnesota Vikings,Atlanta Falcons,Tampa Bay Buccaneers,Buffalo Bills,New England Patriots,Miami Dolphins,Green Bay Packers,St. Louis Rams,Denver Broncos,Jacksonville Jaguars,Baltimore Ravens,Tennessee Titans,Pittsburgh Steelers,New York Giants,Detroit Lions,Indianapolis Colts,New Orleans Saints,Dallas Cowboys,Oakland Raiders,San Diego Chargers,Seattle Seahawks,Arizona Cardinals,Washington Redskins,Kansas City Chiefs,Chicago Bears,Carolina Panthers,Cincinnati Bengals,Philadelphia Eagles,Cleveland Browns,Houston Texans
1999,Indianapolis Colts,Buffalo Bills,Miami Dolphins,New York Jets,Oakland Raiders,New England Patriots,Seattle Seahawks,New York Giants,Washington Redskins,Dallas Cowboys,Tampa Bay Buccaneers,Detroit Lions,Minnesota Vikings,Kansas City Chiefs,Green Bay Packers,Denver Broncos,San Diego Chargers,Tennessee Titans,Philadelphia Eagles,Chicago Bears,Arizona Cardinals,Jacksonville Jaguars,St. Louis Rams,San Francisco 49ers,Carolina Panthers,Baltimore Ravens,New Orleans Saints,Atlanta Falcons,Pittsburgh Steelers,Cincinnati Bengals,Cleveland Browns,Houston Texans
2000,New York Jets,Indianapolis Colts,Green Bay Packers,Tampa Bay Buccaneers,Minnesota Vikings,Miami Dolphins,Detroit Lions,Tennessee Titans,Buffalo Bills,Washington Redskins,Chicago Bears,Baltimore Ravens,Pittsburgh Steelers,Oakland Raiders,Denver Broncos,St. Louis Rams,New York Giants,New England Patriots,Kansas City Chiefs,Carolina Panthers,Philadelphia Eagles,Jacksonville Jaguars,New Orleans Saints,Seattle Seahawks,Dallas Cowboys,Cincinnati Bengals,San Francisco 49ers,Atlanta Falcons,Cleveland Browns,Arizona Cardinals,San Diego Chargers,Houston Texans
2001,Green Bay Packers,Baltimore Ravens,Tampa Bay Buccaneers,Pittsburgh Steelers,St. Louis Rams,Chicago Bears,Cincinnati Bengals,Tennessee Titans,Jacksonville Jaguars,Cleveland Browns,San Francisco 49ers,New York Jets,Minnesota Vikings,New Orleans Saints,New England Patriots,Philadelphia Eagles,Miami Dolphins,Atlanta Falcons,Oakland Raiders,Seattle Seahawks,Denver Broncos,Washington Redskins,Dallas Cowboys,Indianapolis Colts,New York Giants,Kansas City Chiefs,Arizona Cardinals,San Diego Chargers,Buffalo Bills,Detroit Lions,Carolina Panthers,Houston Texans
2002,Oakland Raiders,Tennessee Titans,New Orleans Saints,Pittsburgh Steelers,Philadelphia Eagles,Miami Dolphins,Tampa Bay Buccaneers,New York Giants,Indianapolis Colts,Kansas City Chiefs,New York Jets,San Francisco 49ers,Cleveland Browns,Green Bay Packers,Atlanta Falcons,San Diego Chargers,Denver Broncos,New England Patriots,Baltimore Ravens,Jacksonville Jaguars,Washington Redskins,St. Louis Rams,Minnesota Vikings,Seattle Seahawks,Buffalo Bills,Carolina Panthers,Dallas Cowboys,Houston Texans,Arizona Cardinals,Chicago Bears,Detroit Lions,Cincinnati Bengals
2003,New England Patriots,Indianapolis Colts,Philadelphia Eagles,Buffalo Bills,Tennessee Titans,Carolina Panthers,Dallas Cowboys,Washington Redskins,Miami Dolphins,Minnesota Vikings,St. Louis Rams,Denver Broncos,Tampa Bay Buccaneers,Kansas City Chiefs,Green Bay Packers,San Francisco 49ers,Seattle Seahawks,Cincinnati Bengals,New Orleans Saints,Baltimore Ravens,Houston Texans,New York Jets,Jacksonville Jaguars,Atlanta Falcons,New York Giants,Chicago Bears,Detroit Lions,Arizona Cardinals,Oakland Raiders,Pittsburgh Steelers,Cleveland Browns,San Diego Chargers
2004,Pittsburgh Steelers,Baltimore Ravens,New England Patriots,Indianapolis Colts,Denver Broncos,Kansas City Chiefs,San Diego Chargers,Jacksonville Jaguars,Cincinnati Bengals,New York Jets,Atlanta Falcons,Philadelphia Eagles,Miami Dolphins,Buffalo Bills,Houston Texans,St. Louis Rams,New Orleans Saints,Seattle Seahawks,Green Bay Packers,Cleveland Browns,Minnesota Vikings,Tennessee Titans,Oakland Raiders,Tampa Bay Buccaneers,Carolina Panthers,Detroit Lions,Arizona Cardinals,New York Giants,Chicago Bears,Dallas Cowboys,Washington Redskins,San Francisco 49ers
